beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,height_cm,shoulder_width_cm,chest_circumference_cm,waist_circumference_cm,hip_circumference_cm,arm_length_cm,leg_length_cm
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,225.50179958343506,50.32156705856323,84.09187197685242,47.924450039863586,81.53005838394165,65.50591886043549,138.9434814453125
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,226.41730308532715,50.788676738739014,82.55864381790161,46.866390109062195,78.47397923469543,65.70141315460205,139.32037353515625
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,227.34265327453613,49.53998923301697,81.06731176376343,45.8537757396698,77.50011086463928,65.90183973312378,139.7013783454895
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,224.96562004089355,47.88594841957092,90.14089107513428,53.32369804382324,84.21506881713867,66.96124076843262,138.17941546440125
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,225.85554122924805,48.30772280693054,88.5709285736084,52.1515429019928,76.2688159942627,67.15425848960876,138.55445981025696
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,226.79309844970703,47.393420338630676,87.03784346580505,51.03300213813782,78.00526022911072,67.35212802886963,138.93358707427979
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,224.44913387298584,46.66762351989746,96.55892848968506,59.34469699859619,85.55178642272949,68.42023730278015,137.4277949333191
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,225.36113262176514,45.881569385528564,94.99189853668213,58.09503793716431,84.55835580825806,68.61087083816528,137.8008782863617
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,226.30033493041992,46.847596764564514,93.6901867389679,56.843894720077515,78.64333391189575,68.80627572536469,138.1780207157135
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,225.82783699035645,51.79066061973572,91.3582444190979,43.8407301902771,88.48084211349487,65.63613414764404,139.01375532150269
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,226.74334049224854,50.12580156326294,89.78760242462158,42.82462000846863,87.49874234199524,65.83527624607086,139.39285278320312
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,227.66425609588623,49.294328689575195,88.07209134101868,41.922831535339355,88.96620273590088,66.0393625497818,139.77593183517456
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,225.26307106018066,49.16239678859711,97.53721356391907,48.83831739425659,93.9184844493866,67.08971858024597,138.24169635772705
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,226.1852264404297,48.261505365371704,95.93629837036133,47.861093282699585,92.79850125312805,67.28635132312775,138.6189103126526
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,5.0,227.15740203857422,48.43507409095764,94.34272646903992,46.902769804000854,93.58753561973572,67.48784184455872,139.0000820159912
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,-5.0,224.75433349609375,46.63301408290863,103.69025468826294,54.42880392074585,91.04208946228027,68.54705810546875,137.48197555541992
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,0.0,225.69353580474854,47.795307636260986,102.06435918807983,53.31636071205139,93.64845752716064,68.74124109745026,137.857186794281
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,5.0,226.65276527404785,46.62206768989563,100.48675537109375,52.115076780319214,97.46888875961304,68.94023716449738,138.2363200187683
